exp_ind_weight,ctrl_ind_weight,exp_weight,ctrl_weight,overall_r,ABOD_all_r,KNN_all_r,overall_r_r1_only
1,1,1,1,0.21106396092451044,0.21335894999682653,0.17022326133639604,0.28020700343191973
1,1,1,2,0.16261267352828135,0.1762578759542796,0.19691647322149067,0.25395783387606263
1,1,2,1,0.2114060268042717,0.1788951222130302,0.15227598127949415,0.24321983849414905
1,1,2,2,0.21106396092451044,0.29455830863710314,0.15973065828777777,0.28020700343191973
1,2,1,1,0.23258627452215014,0.2527361014354331,0.15110028548545187,0.3056830039282015
1,2,1,2,0.1744101504691404,0.053293351162040904,0.06226362483103993,0.24938396770638424
1,2,2,1,0.23029079281928658,0.2156461715416937,0.14307967770513477,0.26337317794275167
1,2,2,2,0.23258627452215014,0.32015199803751737,0.15110028548545187,0.3056830039282015
2,1,1,1,0.2261128623755754,0.1991956218390892,0.2100662236304341,0.2718599589191735
2,1,1,2,0.2011723823649302,0.28564579863220485,0.15051430506892252,0.28262013251213114
2,1,2,1,0.219627289346683,0.19409541359458385,0.1839079670358543,0.23655413963573446
2,1,2,2,0.2261128623755754,0.23462300501557007,0.2100662236304341,0.2718599589191735
2,2,1,1,0.24533737994606675,0.287096782872476,0.2348230207295286,0.29591013199951965
2,2,1,2,0.21478728876150183,0.2231854495034998,0.13497342902665724,0.2917785868475584
2,2,2,1,0.2326158862870552,0.2352400327271722,0.19738433015820767,0.250261096687858
2,2,2,2,0.24533737994606675,0.26146677339112134,0.1880461667009242,0.29591013199951965
